id,path,size_bytes,duration,width,height,classification,human_status,role,quality_notes,selected_for_demo,github_target_path,source_guess
0001,media/generated_demos_checked/01_main_clean_no_memory_vs_memory_generated_comparison.mp4,1197305,15.750000,1280,432,ASSEMBLED_FROM_TRUE_GENERATED_VIDEOS,PASS,MAIN_GENERATED_COMPARISON,Clean side-by-side assembled from true generated no-memory seed1 and approved-memory seed8 clips,yes,media/generated_demos_checked/01_main_clean_no_memory_vs_memory_generated_comparison.mp4,final_demo_file
0002,media/generated_demos_checked/02_generated_candidate_pool_gallery.mp4,10512973,15.750000,2560,704,ASSEMBLED_FROM_TRUE_GENERATED_VIDEOS,PASS,CANDIDATE_POOL_GENERATED_GALLERY,Moving gallery assembled from true generated candidate clips,yes,media/generated_demos_checked/02_generated_candidate_pool_gallery.mp4,final_demo_file
0003,media/generated_demos_checked/03_backup_generated_sample_a.mp4,418244,15.750000,640,352,TRUE_WORLDMODEL_GENERATED_VIDEO,PASS,BACKUP_GENERATED_VIDEO,Single true generated no-memory seed1 clip kept as backup evidence,yes,media/generated_demos_checked/03_backup_generated_sample_a.mp4,final_demo_file
0004,media/generated_demos_checked/04_backup_generated_sample_b.mp4,437847,15.750000,640,352,TRUE_WORLDMODEL_GENERATED_VIDEO,PASS,BACKUP_GENERATED_VIDEO,Single true generated approved-memory seed8 clip kept as backup evidence,yes,media/generated_demos_checked/04_backup_generated_sample_b.mp4,final_demo_file
0005,media/demo/no_memory_seed1.mp4,418244,15.750000,640,352,TRUE_WORLDMODEL_GENERATED_VIDEO,PASS,ADDITIONAL_GENERATED_SAMPLE,Repo source clip for backup sample A,no,media/demo/no_memory_seed1.mp4,repo_generated_clip
0006,media/demo/with_roadsign_memory_seed8.mp4,437847,15.750000,640,352,TRUE_WORLDMODEL_GENERATED_VIDEO,PASS,ADDITIONAL_GENERATED_SAMPLE,Repo source clip for backup sample B,no,media/demo/with_roadsign_memory_seed8.mp4,repo_generated_clip
0007,media/demo/no_memory_vs_roadsign_memory_side_by_side.mp4,473528,15.750000,1024,282,ASSEMBLED_FROM_TRUE_GENERATED_VIDEOS,PASS,ADDITIONAL_GENERATED_SAMPLE,Compact side-by-side assembled from true generated clips,no,media/demo/no_memory_vs_roadsign_memory_side_by_side.mp4,repo_generated_clip
0008,media/demo_v2/demo_v2_no_memory_vs_memory_annotated.mp4,782367,21.750000,1280,720,VISUALIZATION_ONLY,FAIL,DEPRECATED,Persistent overlay may block the right-side panel,no,media/demo_v2/demo_v2_no_memory_vs_memory_annotated.mp4,legacy_visualization
0009,media/demo_v3/demo_v3_object_patch_memory_story.mp4,2109693,38.700000,1280,720,VISUALIZATION_ONLY,SKIP,VISUALIZATION_ONLY,Explanatory memory story video and not a raw generated rollout,no,media/demo_v3/demo_v3_object_patch_memory_story.mp4,visualization_only
0010,media/demo_v3/candidate_gallery_memory_selection.mp4,34906,6.000000,960,340,VISUALIZATION_ONLY,SKIP,VISUALIZATION_ONLY,Candidate-pool explanation using visualization material and not a raw generated rollout,no,media/demo_v3/candidate_gallery_memory_selection.mp4,visualization_only
0011,media/demo_v3/memory_strength_slider_demo.mp4,20498,6.000000,960,256,VISUALIZATION_ONLY,SKIP,VISUALIZATION_ONLY,Reranking score explanation and not a raw generated rollout,no,media/demo_v3/memory_strength_slider_demo.mp4,visualization_only
0012,media/demo_v3/correct_vs_wrong_memory_battle.mp4,34274,6.000000,960,540,VISUALIZATION_ONLY,SKIP,VISUALIZATION_ONLY,Control explanation video and not a raw generated rollout,no,media/demo_v3/correct_vs_wrong_memory_battle.mp4,visualization_only
0013,media/demo_v3/object_patch_heatmap_demo.mp4,34397,6.000000,960,588,VISUALIZATION_ONLY,SKIP,VISUALIZATION_ONLY,Patch-matching explanation video and not a raw generated rollout,no,media/demo_v3/object_patch_heatmap_demo.mp4,visualization_only
